CustomerID,Recency,Frequency,Monetary,ReviewText,Cluster,Cleaned_ReviewText,Sentiment_Compound,Sentiment_Pos,Sentiment_Neu,Sentiment_Neg,Sentiment_Label
CUST-0012,192.7,6,456.0,Unacceptable delivery delay. Took 3 weeks to arrive and support was unreachable.,1,unacceptable delivery delay took 3 weeks to arrive and support was unreachable,-0.3818,0.169,0.5,0.331,Negative
CUST-0013,98.3,7,342.4,Extremely disappointed with build quality. Cheap plastic that feels fragile.,1,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0014,13.1,7,407.3,Standard delivery time. Product is fine for routine everyday use.,1,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0015,11.0,3,191.8,"Does the job adequately. No major complaints, but nothing exceptional.",2,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0016,11.1,2,63.95,"Does the job adequately. No major complaints, but nothing exceptional.",0,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0017,20.0,3,160.43,"A bit pricey for what it delivers, but overall decent experience.",0,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0018,40.9,5,368.77,"Does the job adequately. No major complaints, but nothing exceptional.",1,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0019,31.1,3,248.24,"Acceptable performance. It functions as described, but packaging was slightly dented.",0,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0020,18.9,3,152.16,"Acceptable performance. It functions as described, but packaging was slightly dented.",0,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0021,52.1,2,91.43,Do not recommend. Horrible return policy and unhelpful customer support.,0,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0022,8.3,4,219.37,"A bit pricey for what it delivers, but overall decent experience.",2,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0023,19.0,4,217.54,Standard delivery time. Product is fine for routine everyday use.,2,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0024,25.1,4,299.85,"A bit pricey for what it delivers, but overall decent experience.",2,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0025,33.5,5,160.32,Standard delivery time. Product is fine for routine everyday use.,0,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0026,84.6,6,269.77,Do not recommend. Horrible return policy and unhelpful customer support.,1,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0027,12.3,2,59.78,"Does the job adequately. No major complaints, but nothing exceptional.",0,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0028,39.7,6,190.69,"Acceptable performance. It functions as described, but packaging was slightly dented.",1,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0029,49.4,4,227.11,Unacceptable delivery delay. Took 3 weeks to arrive and support was unreachable.,0,unacceptable delivery delay took 3 weeks to arrive and support was unreachable,-0.3818,0.169,0.5,0.331,Negative
CUST-0030,2.6,2,129.15,"A bit pricey for what it delivers, but overall decent experience.",2,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0031,51.4,3,114.93,Do not recommend. Horrible return policy and unhelpful customer support.,0,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0032,10.3,6,383.39,"A bit pricey for what it delivers, but overall decent experience.",2,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0033,3.7,5,350.04,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0034,163.6,5,424.12,Unacceptable delivery delay. Took 3 weeks to arrive and support was unreachable.,1,unacceptable delivery delay took 3 weeks to arrive and support was unreachable,-0.3818,0.169,0.5,0.331,Negative
CUST-0035,185.4,4,205.02,Unacceptable delivery delay. Took 3 weeks to arrive and support was unreachable.,0,unacceptable delivery delay took 3 weeks to arrive and support was unreachable,-0.3818,0.169,0.5,0.331,Negative
CUST-0036,90.9,3,115.45,Do not recommend. Horrible return policy and unhelpful customer support.,0,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0037,20.0,3,95.87,Standard delivery time. Product is fine for routine everyday use.,0,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0038,5.7,4,120.67,"Does the job adequately. No major complaints, but nothing exceptional.",2,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0039,63.4,7,507.47,Completely defective. The charging unit broke after 3 days of normal use.,1,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0040,31.9,6,136.37,Standard delivery time. Product is fine for routine everyday use.,0,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0041,7.2,5,359.6,"Does the job adequately. No major complaints, but nothing exceptional.",2,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0042,37.6,3,103.1,Extremely disappointed with build quality. Cheap plastic that feels fragile.,0,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0043,1.9,4,150.67,"Does the job adequately. No major complaints, but nothing exceptional.",2,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0044,132.0,3,141.82,Unacceptable delivery delay. Took 3 weeks to arrive and support was unreachable.,0,unacceptable delivery delay took 3 weeks to arrive and support was unreachable,-0.3818,0.169,0.5,0.331,Negative
CUST-0045,16.5,2,74.67,"Acceptable performance. It functions as described, but packaging was slightly dented.",0,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0046,59.7,8,534.21,Standard delivery time. Product is fine for routine everyday use.,1,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0047,20.5,6,495.84,Standard delivery time. Product is fine for routine everyday use.,1,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0048,40.4,4,152.66,"Does the job adequately. No major complaints, but nothing exceptional.",0,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0049,43.5,6,253.32,"A bit pricey for what it delivers, but overall decent experience.",1,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0050,11.2,4,188.24,Standard delivery time. Product is fine for routine everyday use.,2,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0051,192.1,7,418.17,Extremely disappointed with build quality. Cheap plastic that feels fragile.,1,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0052,82.1,5,236.19,Do not recommend. Horrible return policy and unhelpful customer support.,1,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0053,154.3,6,449.82,Extremely disappointed with build quality. Cheap plastic that feels fragile.,1,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0054,123.9,6,423.84,Do not recommend. Horrible return policy and unhelpful customer support.,1,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0055,50.1,5,143.31,Completely defective. The charging unit broke after 3 days of normal use.,0,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0056,140.2,3,178.13,Extremely disappointed with build quality. Cheap plastic that feels fragile.,0,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0057,5.1,6,464.2,"A bit pricey for what it delivers, but overall decent experience.",2,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0058,12.0,5,205.47,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0059,2.5,7,312.92,"A bit pricey for what it delivers, but overall decent experience.",2,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0060,21.6,5,202.48,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0061,27.1,6,245.24,Standard delivery time. Product is fine for routine everyday use.,1,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0062,17.4,1,19.97,"Does the job adequately. No major complaints, but nothing exceptional.",0,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0063,97.1,9,234.81,Completely defective. The charging unit broke after 3 days of normal use.,1,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0064,24.3,6,308.37,"A bit pricey for what it delivers, but overall decent experience.",1,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0065,18.1,8,617.96,"Acceptable performance. It functions as described, but packaging was slightly dented.",1,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0066,43.0,3,116.88,Extremely disappointed with build quality. Cheap plastic that feels fragile.,0,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0067,8.4,1,38.43,Standard delivery time. Product is fine for routine everyday use.,0,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0068,89.1,6,483.76,Completely defective. The charging unit broke after 3 days of normal use.,1,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0069,4.3,5,150.26,Standard delivery time. Product is fine for routine everyday use.,2,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0070,238.4,5,100.49,Do not recommend. Horrible return policy and unhelpful customer support.,0,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0071,81.4,3,105.26,Extremely disappointed with build quality. Cheap plastic that feels fragile.,0,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0072,12.2,4,152.28,"A bit pricey for what it delivers, but overall decent experience.",2,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0073,0.3,4,74.18,Standard delivery time. Product is fine for routine everyday use.,2,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0074,92.9,4,190.78,Do not recommend. Horrible return policy and unhelpful customer support.,0,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0075,67.5,4,268.29,Completely defective. The charging unit broke after 3 days of normal use.,0,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0076,71.8,3,80.56,Completely defective. The charging unit broke after 3 days of normal use.,0,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0077,81.1,6,309.46,Extremely disappointed with build quality. Cheap plastic that feels fragile.,1,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0078,4.2,5,285.63,Standard delivery time. Product is fine for routine everyday use.,2,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0079,24.4,4,194.0,Standard delivery time. Product is fine for routine everyday use.,0,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0080,6.8,4,213.37,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0081,109.4,4,214.21,Do not recommend. Horrible return policy and unhelpful customer support.,0,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0082,53.7,3,106.11,Do not recommend. Horrible return policy and unhelpful customer support.,0,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0083,22.1,3,230.92,"Acceptable performance. It functions as described, but packaging was slightly dented.",0,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0084,3.6,7,507.22,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0085,20.5,3,214.26,Standard delivery time. Product is fine for routine everyday use.,0,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0086,21.6,2,136.49,"Does the job adequately. No major complaints, but nothing exceptional.",0,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0087,71.9,2,43.3,Completely defective. The charging unit broke after 3 days of normal use.,0,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0088,55.8,6,400.01,"Acceptable performance. It functions as described, but packaging was slightly dented.",1,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0089,120.0,5,309.0,Extremely disappointed with build quality. Cheap plastic that feels fragile.,1,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0090,35.1,6,134.06,"Acceptable performance. It functions as described, but packaging was slightly dented.",0,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0091,7.0,6,276.79,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0092,68.7,5,274.91,Do not recommend. Horrible return policy and unhelpful customer support.,1,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0093,78.7,6,479.75,Unacceptable delivery delay. Took 3 weeks to arrive and support was unreachable.,1,unacceptable delivery delay took 3 weeks to arrive and support was unreachable,-0.3818,0.169,0.5,0.331,Negative
CUST-0094,45.3,4,252.18,Do not recommend. Horrible return policy and unhelpful customer support.,0,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0095,81.1,5,172.19,Unacceptable delivery delay. Took 3 weeks to arrive and support was unreachable.,0,unacceptable delivery delay took 3 weeks to arrive and support was unreachable,-0.3818,0.169,0.5,0.331,Negative
CUST-0096,37.4,7,563.62,"A bit pricey for what it delivers, but overall decent experience.",1,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0097,40.7,5,253.94,"Acceptable performance. It functions as described, but packaging was slightly dented.",1,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0098,30.7,3,136.18,"A bit pricey for what it delivers, but overall decent experience.",0,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0099,1.4,4,176.45,Standard delivery time. Product is fine for routine everyday use.,2,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0100,6.3,6,124.66,"Does the job adequately. No major complaints, but nothing exceptional.",2,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0101,1.8,4,192.1,"Does the job adequately. No major complaints, but nothing exceptional.",2,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0102,55.6,3,176.86,Extremely disappointed with build quality. Cheap plastic that feels fragile.,0,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0103,20.8,5,215.32,Standard delivery time. Product is fine for routine everyday use.,2,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0104,39.1,5,287.84,"A bit pricey for what it delivers, but overall decent experience.",1,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0105,131.0,6,206.65,Extremely disappointed with build quality. Cheap plastic that feels fragile.,1,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0106,15.8,4,189.85,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0107,29.1,8,445.58,"A bit pricey for what it delivers, but overall decent experience.",1,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0108,77.5,5,267.07,Completely defective. The charging unit broke after 3 days of normal use.,1,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0109,14.3,6,126.61,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0110,4.4,3,126.29,"Does the job adequately. No major complaints, but nothing exceptional.",2,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0111,18.8,10,801.94,"Acceptable performance. It functions as described, but packaging was slightly dented.",1,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0112,9.7,3,123.41,"Acceptable performance. It functions as described, but packaging was slightly dented.",0,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0113,146.0,2,100.57,Do not recommend. Horrible return policy and unhelpful customer support.,0,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0114,90.8,4,193.75,Extremely disappointed with build quality. Cheap plastic that feels fragile.,0,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0115,55.2,7,547.6,Standard delivery time. Product is fine for routine everyday use.,1,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0116,112.8,2,146.45,Unacceptable delivery delay. Took 3 weeks to arrive and support was unreachable.,0,unacceptable delivery delay took 3 weeks to arrive and support was unreachable,-0.3818,0.169,0.5,0.331,Negative
CUST-0117,89.5,3,193.61,Unacceptable delivery delay. Took 3 weeks to arrive and support was unreachable.,0,unacceptable delivery delay took 3 weeks to arrive and support was unreachable,-0.3818,0.169,0.5,0.331,Negative
CUST-0118,11.4,9,292.33,"A bit pricey for what it delivers, but overall decent experience.",1,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0119,122.7,8,451.72,Completely defective. The charging unit broke after 3 days of normal use.,1,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0120,42.6,4,240.89,Standard delivery time. Product is fine for routine everyday use.,0,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0121,90.6,2,74.85,Extremely disappointed with build quality. Cheap plastic that feels fragile.,0,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0122,124.5,7,240.31,Completely defective. The charging unit broke after 3 days of normal use.,1,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0123,21.1,5,403.45,"Does the job adequately. No major complaints, but nothing exceptional.",1,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0124,6.4,6,267.51,Standard delivery time. Product is fine for routine everyday use.,2,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0125,14.2,4,316.28,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0126,30.6,4,271.79,Standard delivery time. Product is fine for routine everyday use.,0,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0127,93.7,6,344.05,Unacceptable delivery delay. Took 3 weeks to arrive and support was unreachable.,1,unacceptable delivery delay took 3 weeks to arrive and support was unreachable,-0.3818,0.169,0.5,0.331,Negative
CUST-0128,108.4,6,348.87,Unacceptable delivery delay. Took 3 weeks to arrive and support was unreachable.,1,unacceptable delivery delay took 3 weeks to arrive and support was unreachable,-0.3818,0.169,0.5,0.331,Negative
CUST-0129,0.4,5,123.96,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0130,39.3,7,376.05,"A bit pricey for what it delivers, but overall decent experience.",1,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0131,29.7,4,302.03,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0132,13.8,5,311.32,Standard delivery time. Product is fine for routine everyday use.,2,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0133,7.0,3,158.33,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0134,22.7,8,646.52,"Does the job adequately. No major complaints, but nothing exceptional.",1,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0135,157.5,11,513.36,Extremely disappointed with build quality. Cheap plastic that feels fragile.,1,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0136,21.5,5,194.24,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0137,40.2,5,263.84,"Does the job adequately. No major complaints, but nothing exceptional.",1,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0138,66.8,4,255.19,Extremely disappointed with build quality. Cheap plastic that feels fragile.,0,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0139,24.9,6,114.48,"Does the job adequately. No major complaints, but nothing exceptional.",0,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0140,196.2,6,330.77,Extremely disappointed with build quality. Cheap plastic that feels fragile.,1,extremely disappointed with build quality cheap plastic that feels fragile,-0.5256,0.0,0.726,0.274,Negative
CUST-0141,180.5,6,387.52,Completely defective. The charging unit broke after 3 days of normal use.,1,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0142,16.0,3,135.44,"Does the job adequately. No major complaints, but nothing exceptional.",0,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0143,37.8,3,209.78,Standard delivery time. Product is fine for routine everyday use.,0,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0144,19.7,6,369.25,"Does the job adequately. No major complaints, but nothing exceptional.",1,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0145,18.4,3,265.63,"A bit pricey for what it delivers, but overall decent experience.",2,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0146,2.1,2,72.98,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0147,51.7,7,454.67,"A bit pricey for what it delivers, but overall decent experience.",1,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0148,38.4,5,158.44,"Does the job adequately. No major complaints, but nothing exceptional.",0,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0149,2.9,4,83.69,"Does the job adequately. No major complaints, but nothing exceptional.",2,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0150,18.0,6,80.16,Standard delivery time. Product is fine for routine everyday use.,0,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
CUST-0151,131.4,6,358.14,Completely defective. The charging unit broke after 3 days of normal use.,1,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0152,15.1,2,106.63,"Acceptable performance. It functions as described, but packaging was slightly dented.",0,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0153,8.6,6,248.26,"Does the job adequately. No major complaints, but nothing exceptional.",2,does the job adequately no major complaints but nothing exceptional,-0.3506,0.0,0.699,0.301,Negative
CUST-0154,37.0,8,144.62,"Acceptable performance. It functions as described, but packaging was slightly dented.",1,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0155,233.4,6,225.44,Unacceptable delivery delay. Took 3 weeks to arrive and support was unreachable.,1,unacceptable delivery delay took 3 weeks to arrive and support was unreachable,-0.3818,0.169,0.5,0.331,Negative
CUST-0156,15.2,5,250.37,"A bit pricey for what it delivers, but overall decent experience.",2,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0157,61.3,5,321.39,Completely defective. The charging unit broke after 3 days of normal use.,1,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0158,78.9,1,49.7,Do not recommend. Horrible return policy and unhelpful customer support.,0,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
